date,category,score,trend_note
2026-04-02,Economy & Markets,-3.0,Concerns over rising oil prices and geopolitical tensions are contributing to a bearish outlook.
2026-04-02,Stocks,-2.0,Market reactions to Trump's speech and ongoing conflicts are leading to cautious investor sentiment.
2026-04-02,Crypto,1.0,"Despite some volatility, there are positive developments in institutional interest and acquisitions."
2026-04-03,Economy & Markets,0.0,The economic outlook remains mixed amid geopolitical tensions.
2026-04-03,Stocks,0.0,Market sentiment is cautious as investors react to ongoing conflicts and personnel changes in the government.
2026-04-03,Crypto,0.0,The cryptocurrency market is experiencing fluctuations as regulatory developments unfold.
2026-04-04,Economy & Markets,0.0,Market sentiment remains neutral as investors await key economic indicators.
2026-04-04,Stocks,1.0,There is a cautiously optimistic tone as the stock market shows signs of recovery.
2026-04-04,Crypto,0.0,Sentiment in the cryptocurrency market is neutral amid regulatory uncertainties.
2026-04-05,Economy & Markets,-2.0,Concerns about geopolitical tensions and their impact on global markets are prevalent.
2026-04-05,Stocks,1.0,There is cautious optimism in the stock market as some sectors show signs of recovery.
2026-04-05,Crypto,-1.0,The cryptocurrency market is experiencing uncertainty amid regulatory discussions and security concerns.
2026-04-07,Economy & Markets,-2.0,Market sentiment is cautious amid rising geopolitical tensions and uncertainty surrounding energy supplies.
2026-04-07,Stocks,-1.0,"Stock market performance is mixed, reflecting concerns over macroeconomic conditions influenced by international conflicts."
2026-04-07,Crypto,1.0,"Crypto markets show some optimism, particularly with advancements in technology and infrastructure within the sector."
2026-04-07,Economy & Markets,-2.0,Market sentiment is cautious due to geopolitical tensions and economic uncertainties.
2026-04-07,Stocks,-1.0,Stock markets are experiencing volatility as investors react to escalating conflicts and economic indicators.
2026-04-07,Crypto,1.0,"Crypto markets are showing some resilience amid geopolitical tensions, with Bitcoin briefly reaching new highs."
